person,school,ps
"[""person372"", ""person372""]","[3, 15]","[0.87, 0.13]"
"[""person373""]",[9],[1.0]
"[""person374"", ""person374"", ""person374""]","[3, 5, 7]","[0.636, 0.214, 0.15]"
"[""person375""]",[11],[1.0]
"[""person376"", ""person376""]","[3, 10]","[0.844, 0.156]"
"[""person377"", ""person377""]","[10, 13]","[0.91, 0.09]"
"[""person378""]",[15],[1.0]
"[""person379"", ""person379""]","[10, 12]","[0.998, 0.002]"
"[""person380""]",[10],[1.0]
"[""person381""]",[4],[1.0]
"[""person382""]",[14],[1.0]
"[""person383""]",[14],[1.0]
"[""person384""]",[15],[1.0]
"[""person385""]",[15],[1.0]
"[""person386"", ""person386""]","[2, 11]","[0.218, 0.782]"
"[""person387""]",[10],[1.0]
"[""person388"", ""person388""]","[4, 11]","[0.196, 0.804]"
"[""person389""]",[16],[1.0]
"[""person390""]",[14],[1.0]
"[""person391""]",[16],[1.0]
"[""person392""]",[9],[1.0]
"[""person393""]",[9],[1.0]
"[""person394""]",[14],[1.0]
"[""person395""]",[10],[1.0]
"[""person396""]",[10],[1.0]
"[""person397"", ""person397""]","[9, 16]","[0.612, 0.388]"
"[""person398""]",[11],[1.0]
"[""person399""]",[5],[1.0]
"[""person400""]",[14],[1.0]
"[""person401"", ""person401"", ""person401"", ""person401"", ""person401"", ""person401"", ""person401""]","[5, 9, 10, 11, 13, 14, 15]","[0.164, 0.152, 0.154, 0.174, 0.018, 0.182, 0.156]"
"[""person402"", ""person402""]","[2, 10]","[0.208, 0.792]"
"[""person403""]",[11],[1.0]
"[""person404""]",[10],[1.0]
"[""person405""]",[10],[1.0]
"[""person406""]",[5],[1.0]
"[""person407"", ""person407""]","[11, 12]","[0.998, 0.002]"
"[""person408""]",[14],[1.0]
"[""person409""]",[6],[1.0]
"[""person410""]",[15],[1.0]
"[""person411""]",[14],[1.0]
"[""person412""]",[10],[1.0]
"[""person413"", ""person413""]","[7, 9]","[0.126, 0.874]"
"[""person414""]",[10],[1.0]
"[""person415""]",[11],[1.0]
"[""person416""]",[7],[1.0]
"[""person417""]",[14],[1.0]
"[""person418""]",[15],[1.0]
"[""person419"", ""person419"", ""person419"", ""person419"", ""person419""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person420""]",[9],[1.0]
"[""person421""]",[10],[1.0]
"[""person422""]",[15],[1.0]
"[""person423"", ""person423""]","[8, 9]","[0.166, 0.834]"
"[""person424"", ""person424""]","[12, 14]","[0.958, 0.042]"
"[""person425""]",[11],[1.0]
"[""person426"", ""person426""]","[8, 10]","[0.128, 0.872]"
"[""person427""]",[4],[1.0]
"[""person428""]",[10],[1.0]
"[""person429""]",[14],[1.0]
"[""person430"", ""person430""]","[12, 15]","[0.934, 0.066]"
"[""person431""]",[15],[1.0]
"[""person432"", ""person432""]","[11, 12]","[0.068, 0.932]"
"[""person433""]",[15],[1.0]
"[""person434""]",[15],[1.0]
"[""person435"", ""person435""]","[6, 11]","[0.238, 0.762]"
"[""person436""]",[14],[1.0]
"[""person437""]",[7],[1.0]
"[""person438"", ""person438""]","[8, 10]","[0.172, 0.828]"
"[""person439""]",[15],[1.0]
"[""person440""]",[15],[1.0]
"[""person441"", ""person441"", ""person441"", ""person441"", ""person441"", ""person441""]","[9, 10, 11, 12, 14, 15]","[0.008, 0.008, 0.02, 0.95, 0.008, 0.006]"
"[""person442""]",[11],[1.0]
"[""person443""]",[15],[1.0]
"[""person444"", ""person444"", ""person444"", ""person444""]","[6, 8, 9, 12]","[0.138, 0.134, 0.726, 0.002]"
"[""person445""]",[14],[1.0]
"[""person446""]",[10],[1.0]
"[""person447""]",[9],[1.0]
"[""person448""]",[14],[1.0]
"[""person449""]",[6],[1.0]
"[""person450""]",[4],[1.0]
"[""person451""]",[14],[1.0]
"[""person452""]",[15],[1.0]
"[""person453""]",[9],[1.0]
"[""person454"", ""person454"", ""person454""]","[1, 8, 11]","[0.48, 0.158, 0.362]"
"[""person455""]",[9],[1.0]
"[""person456""]",[14],[1.0]
"[""person457""]",[15],[1.0]
"[""person458""]",[10],[1.0]
"[""person459""]",[13],[1.0]
"[""person460"", ""person460""]","[8, 10]","[0.132, 0.868]"
"[""person461""]",[10],[1.0]
"[""person462""]",[16],[1.0]
"[""person463"", ""person463"", ""person463"", ""person463"", ""person463"", ""person463""]","[1, 9, 10, 11, 14, 15]","[0.618, 0.072, 0.054, 0.094, 0.086, 0.076]"
"[""person464""]",[9],[1.0]
"[""person465"", ""person465""]","[7, 10]","[0.11, 0.89]"
"[""person466"", ""person466""]","[5, 9]","[0.188, 0.812]"
"[""person467""]",[1],[1.0]
"[""person468""]",[15],[1.0]
"[""person469""]",[15],[1.0]
"[""person470""]",[14],[1.0]
"[""person471""]",[2],[1.0]
"[""person472""]",[10],[1.0]
"[""person473""]",[6],[1.0]
"[""person474"", ""person474""]","[6, 14]","[0.28, 0.72]"
"[""person475"", ""person475"", ""person475""]","[5, 12, 14]","[0.214, 0.722, 0.064]"
"[""person476""]",[13],[1.0]
"[""person477"", ""person477""]","[6, 15]","[0.296, 0.704]"
"[""person478""]",[14],[1.0]
"[""person479""]",[9],[1.0]
"[""person480""]",[9],[1.0]
"[""person481""]",[11],[1.0]
"[""person482""]",[6],[1.0]
"[""person483""]",[15],[1.0]
"[""person484"", ""person484""]","[13, 14]","[0.088, 0.912]"
"[""person485""]",[14],[1.0]
